Time,root.CNNP.QF.1#.QF1RCP604MP.numvalue
2019-04-20T16:05:06.000+08:00,4.897
2019-04-20T16:08:43.000+08:00,4.887
2019-04-20T16:09:16.000+08:00,4.897
2019-04-20T16:10:52.000+08:00,4.886
2019-04-20T16:11:56.000+08:00,4.897
2019-04-20T16:15:11.000+08:00,4.886
2019-04-20T16:16:24.000+08:00,4.897
2019-04-20T16:34:44.000+08:00,4.887
2019-04-20T16:35:25.000+08:00,4.898
2019-04-20T16:35:48.000+08:00,4.888
2019-04-20T16:44:36.000+08:00,4.898
2019-04-20T16:44:53.000+08:00,4.888
2019-04-20T16:45:50.000+08:00,4.884
2019-04-20T16:46:33.000+08:00,4.895
2019-04-20T16:50:53.000+08:00,4.898
2019-04-20T16:53:28.000+08:00,4.888
2019-04-20T16:54:50.000+08:00,4.898
2019-04-20T16:57:24.000+08:00,4.886
2019-04-20T16:58:13.000+08:00,4.897
2019-04-20T17:01:32.000+08:00,4.887
2019-04-20T17:02:39.000+08:00,4.898
2019-04-20T17:03:58.000+08:00,4.887
2019-04-20T17:07:07.000+08:00,4.898
2019-04-20T17:07:55.000+08:00,4.888
2019-04-20T17:14:45.000+08:00,4.899
2019-04-20T17:16:25.000+08:00,4.888
2019-04-20T17:17:36.000+08:00,4.899
2019-04-20T17:18:25.000+08:00,4.889
2019-04-20T17:23:09.000+08:00,4.885
2019-04-20T17:23:19.000+08:00,4.897
2019-04-20T17:25:14.000+08:00,4.887
2019-04-20T17:29:28.000+08:00,4.898
2019-04-20T17:30:30.000+08:00,4.887
2019-04-20T17:30:52.000+08:00,4.897
2019-04-20T17:34:42.000+08:00,4.9
2019-04-20T17:35:46.000+08:00,4.89
2019-04-20T17:38:08.000+08:00,4.901
2019-04-20T17:39:07.000+08:00,4.89
2019-04-20T17:41:41.000+08:00,4.901
2019-04-20T17:43:13.000+08:00,4.891
2019-04-20T17:51:48.000+08:00,4.886
2019-04-20T17:52:40.000+08:00,4.897
2019-04-20T17:54:06.000+08:00,4.886
2019-04-20T17:54:49.000+08:00,4.897
2019-04-20T17:55:08.000+08:00,4.886
2019-04-20T17:55:18.000+08:00,4.897
2019-04-20T17:55:56.000+08:00,4.887
2019-04-20T17:56:43.000+08:00,4.898
2019-04-20T17:58:07.000+08:00,4.887
2019-04-20T18:10:02.000+08:00,4.897
2019-04-20T18:11:05.000+08:00,4.885
2019-04-20T18:12:26.000+08:00,4.895
2019-04-20T18:20:13.000+08:00,4.884
2019-04-20T18:20:36.000+08:00,4.894
2019-04-20T18:31:34.000+08:00,4.884
2019-04-20T18:32:22.000+08:00,4.895
2019-04-20T18:33:39.000+08:00,4.885
2019-04-20T18:35:16.000+08:00,4.896
2019-04-20T18:36:51.000+08:00,4.885
2019-04-20T18:37:22.000+08:00,4.896
2019-04-20T18:38:24.000+08:00,4.885
2019-04-20T18:44:26.000+08:00,4.896
2019-04-20T18:47:18.000+08:00,4.885
2019-04-20T18:48:38.000+08:00,4.895
2019-04-20T18:50:25.000+08:00,4.884
2019-04-20T18:52:00.000+08:00,4.895
2019-04-20T19:11:16.000+08:00,4.885
2019-04-20T19:11:40.000+08:00,4.896
